Textbox5
"Katowice / Szkoła Podstawowa nr 1 
stan na: 6/14/2025 4:43:30 PM"

tydzien,data_spotk,para,karta
tydz. od 21.10,2024-10-22,W1Name W1Surname-K1Name K1Surname 2025-03-03,
tydz. od 21.10,2024-10-22,W2Name W2Surname-K2Name K2Surname 2024-10-30,
tydz. od 21.10,2024-10-22,W3Name W3Surname-K3Name K3Surname 2024-11-10,
tydz. od 21.10,2024-10-22,W4Name W4Surname-K4Name K4Surname 2024-12-02,
tydz. od 21.10,2024-10-22,W5Name W5Surname-K5Name K5Surname 2024-12-02,
tydz. od 21.10,2024-10-22,W6Name W6Surname-K6Name K6Surname 2024-12-02,
tydz. od 21.10,2024-10-22,W7Name W7Surname-K7Name K7Surname 2024-10-25,
tydz. od 21.10,2024-10-22,W8Name W8Surname-K8Name K8Surname 2024-10-11,spotkanie_do_akceptacji
tydz. od 21.10,2024-10-22,W9Name W9Surname-K9Name K9Surname 2025-01-18,
tydz. od 21.10,2024-10-22,W10Name W10Surname-K10Name K10Surname 2024-10-23,
tydz. od 21.10,2024-10-22,W11Name W11Surname-K11Name K11Surname 2024-10-15,
tydz. od 21.10,2024-10-22,W12Name W12Surname-K12Name K12Surname 2024-11-29,
tydz. od 28.10,2024-10-29,W1Name W1Surname-K1Name K1Surname 2025-03-03,
tydz. od 28.10,2024-10-29,W2Name W2Surname-K2Name K2Surname 2024-10-30,
tydz. od 28.10,2024-10-29,W3Name W3Surname-K3Name K3Surname 2024-11-10,
tydz. od 28.10,2024-10-29,W4Name W4Surname-K4Name K4Surname 2024-12-02,
tydz. od 28.10,2024-10-29,W5Name W5Surname-K5Name K5Surname 2024-12-02,
tydz. od 28.10,2024-10-29,W6Name W6Surname-K6Name K6Surname 2024-12-02,
tydz. od 28.10,2024-10-29,W7Name W7Surname-K7Name K7Surname 2024-10-25,
tydz. od 28.10,2024-10-29,W8Name W8Surname-K8Name K8Surname 2024-10-11,
tydz. od 28.10,2024-10-29,W9Name W9Surname-K9Name K9Surname 2025-01-18,
tydz. od 28.10,2024-10-29,W10Name W10Surname-K10Name K10Surname 2024-10-23,
tydz. od 28.10,2024-10-29,W11Name W11Surname-K11Name K11Surname 2024-10-15,spotkanie_zaakceptowane
tydz. od 28.10,2024-10-29,W12Name W12Surname-K12Name K12Surname 2024-11-29,
tydz. od 28.10,2024-10-31,W1Name W1Surname-K1Name K1Surname 2025-03-03,
tydz. od 28.10,2024-10-31,W2Name W2Surname-K2Name K2Surname 2024-10-30,
tydz. od 28.10,2024-10-31,W3Name W3Surname-K3Name K3Surname 2024-11-10,
tydz. od 28.10,2024-10-31,W4Name W4Surname-K4Name K4Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W5Name W5Surname-K5Name K5Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W6Name W6Surname-K6Name K6Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W7Name W7Surname-K7Name K7Surname 2024-10-25,odwolalo_dziecko
tydz. od 28.10,2024-10-31,W8Name W8Surname-K8Name K8Surname 2024-10-11,odwolalo_dziecko
tydz. od 28.10,2024-10-31,W9Name W9Surname-K9Name K9Surname 2025-01-18,
tydz. od 28.10,2024-10-31,W10Name W10Surname-K10Name K10Surname 2024-10-23,
tydz. od 28.10,2024-10-31,W11Name W11Surname-K11Name K11Surname 2024-10-15,
tydz. od 28.10,2024-10-31,W12Name W12Surname-K12Name K12Surname 2024-11-29,
tydz. od 28.10,2024-10-31,W1Name W1Surname-K1Name K1Surname 2025-03-03,
tydz. od 28.10,2024-10-31,W2Name W2Surname-K2Name K2Surname 2024-10-30,
tydz. od 28.10,2024-10-31,W3Name W3Surname-K3Name K3Surname 2024-11-10,
tydz. od 28.10,2024-10-31,W4Name W4Surname-K4Name K4Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W5Name W5Surname-K5Name K5Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W6Name W6Surname-K6Name K6Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W7Name W7Surname-K7Name K7Surname 2024-10-25,spotkanie_do_akceptacji
tydz. od 28.10,2024-10-31,W8Name W8Surname-K8Name K8Surname 2024-10-11,
tydz. od 28.10,2024-10-31,W9Name W9Surname-K9Name K9Surname 2025-01-18,
tydz. od 28.10,2024-10-31,W10Name W10Surname-K10Name K10Surname 2024-10-23,
tydz. od 28.10,2024-10-31,W11Name W11Surname-K11Name K11Surname 2024-10-15,
tydz. od 28.10,2024-10-31,W12Name W12Surname-K12Name K12Surname 2024-11-29,
tydz. od 28.10,2024-10-31,W1Name W1Surname-K1Name K1Surname 2025-03-03,spotkanie_zaakceptowane
tydz. od 28.10,2024-10-31,W2Name W2Surname-K2Name K2Surname 2024-10-30,
tydz. od 28.10,2024-10-31,W3Name W3Surname-K3Name K3Surname 2024-11-10,
tydz. od 28.10,2024-10-31,W4Name W4Surname-K4Name K4Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W5Name W5Surname-K5Name K5Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W6Name W6Surname-K6Name K6Surname 2024-12-02,
tydz. od 28.10,2024-10-31,W7Name W7Surname-K7Name K7Surname 2024-10-25,
tydz. od 28.10,2024-10-31,W8Name W8Surname-K8Name K8Surname 2024-10-11,
tydz. od 28.10,2024-10-31,W9Name W9Surname-K9Name K9Surname 2025-01-18,
tydz. od 28.10,2024-10-31,W10Name W10Surname-K10Name K10Surname 2024-10-23,
tydz. od 28.10,2024-10-31,W11Name W11Surname-K11Name K11Surname 2024-10-15,
tydz. od 28.10,2024-10-31,W12Name W12Surname-K12Name K12Surname 2024-11-29,
