Textbox5
"Tarnowskie Góry / Szkoła Podstawowa nr 3 
stan na: 6/14/2025 4:43:30 PM"

tydzien,data_spotk,para,karta
tydz. od 14.10,2024-10-17,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 14.10,2024-10-17,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 14.10,2024-10-17,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,odwolal_wolontariusz
tydz. od 14.10,2024-10-17,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 14.10,2024-10-17,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 14.10,2024-10-17,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 14.10,2024-10-17,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 14.10,2024-10-17,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 21.10,2024-10-24,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 21.10,2024-10-24,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 21.10,2024-10-24,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,odwolal_wolontariusz
tydz. od 21.10,2024-10-24,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 21.10,2024-10-24,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 21.10,2024-10-24,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 21.10,2024-10-24,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 21.10,2024-10-24,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 21.10,2024-10-24,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 21.10,2024-10-24,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 21.10,2024-10-24,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,
tydz. od 21.10,2024-10-24,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 21.10,2024-10-24,W5Name W5Surname-K5Name K5Surname 2024-10-10,spotkanie_do_akceptacji
tydz. od 21.10,2024-10-24,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 21.10,2024-10-24,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 21.10,2024-10-24,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 28.10,2024-10-30,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 28.10,2024-10-30,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 28.10,2024-10-30,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,odwolal_wolontariusz
tydz. od 28.10,2024-10-30,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 28.10,2024-10-30,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 28.10,2024-10-30,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 28.10,2024-10-30,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 28.10,2024-10-30,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 28.10,2024-10-31,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 28.10,2024-10-31,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 28.10,2024-10-31,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,
tydz. od 28.10,2024-10-31,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 28.10,2024-10-31,W5Name W5Surname-K5Name K5Surname 2024-10-10,spotkanie_do_akceptacji
tydz. od 28.10,2024-10-31,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 28.10,2024-10-31,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 28.10,2024-10-31,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 04.11,2024-11-04,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 04.11,2024-11-04,W2Name W2Surname-K2Name K2Surname 2024-10-31,spotkanie_zaakceptowane
tydz. od 04.11,2024-11-04,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,
tydz. od 04.11,2024-11-04,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 04.11,2024-11-04,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 04.11,2024-11-04,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 04.11,2024-11-04,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 04.11,2024-11-04,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 04.11,2024-11-07,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 04.11,2024-11-07,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 04.11,2024-11-07,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,
tydz. od 04.11,2024-11-07,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 04.11,2024-11-07,W5Name W5Surname-K5Name K5Surname 2024-10-10,spotkanie_do_akceptacji
tydz. od 04.11,2024-11-07,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 04.11,2024-11-07,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 04.11,2024-11-07,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 04.11,2024-11-07,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 04.11,2024-11-07,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 04.11,2024-11-07,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,spotkanie_zaakceptowane
tydz. od 04.11,2024-11-07,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 04.11,2024-11-07,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 04.11,2024-11-07,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 04.11,2024-11-07,W7Name W7Surname-K7Name K7Surname 2024-10-29,
tydz. od 04.11,2024-11-07,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 04.11,2024-11-08,W1Name W1Surname-K1Name K1Surname 2025-04-09,
tydz. od 04.11,2024-11-08,W2Name W2Surname-K2Name K2Surname 2024-10-31,
tydz. od 04.11,2024-11-08,W3Name W3Surname-K3Name K3Surname-K3Surname 2024-10-10,
tydz. od 04.11,2024-11-08,W4Name W4Surname-K4Name K4Surname 2025-01-24,
tydz. od 04.11,2024-11-08,W5Name W5Surname-K5Name K5Surname 2024-10-10,
tydz. od 04.11,2024-11-08,W6Name W6Surname-K6Name K6Surname 2025-01-24,
tydz. od 04.11,2024-11-08,W7Name W7Surname-K7Name K7Surname 2024-10-29,spotkanie_zaakceptowane
tydz. od 04.11,2024-11-08,W8Name W8Surname-K8Name K8Surname 2024-10-29,
tydz. od 11.11,2024-11-11,W1Name W1Surname-K1Name K1Surname 2025-04-09,
