Textbox5
"Częstochowa / Szkoła Podstawowa nr 4 
stan na: 6/14/2025 4:43:30 PM"

tydzien,data_spotk,para,karta
tydz. od 28.10,2024-10-30,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 28.10,2024-10-30,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 28.10,2024-10-30,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 28.10,2024-10-30,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 28.10,2024-10-30,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 28.10,2024-10-30,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 28.10,2024-10-30,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 28.10,2024-10-30,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 04.11,2024-11-06,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 04.11,2024-11-06,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 04.11,2024-11-06,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 04.11,2024-11-06,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 04.11,2024-11-06,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 04.11,2024-11-06,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 04.11,2024-11-06,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_zaakceptowane
tydz. od 04.11,2024-11-06,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 04.11,2024-11-08,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 04.11,2024-11-08,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 04.11,2024-11-08,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 04.11,2024-11-08,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 04.11,2024-11-08,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 04.11,2024-11-08,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 04.11,2024-11-08,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 04.11,2024-11-08,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 11.11,2024-11-12,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 11.11,2024-11-12,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W4Name W4Surname-K4Name K4Surname 2025-02-25,odwolal_wolontariusz
tydz. od 11.11,2024-11-12,W5Name W5Surname-K5Name K5Surname 2024-11-20,
